storm_id,usa_atcf_id,date,latitude,longitude,wind
Alberto-2018,AL012018,201805251200,18.8,-87.1,30
Alberto-2018,AL012018,201805251800,18.7,-86.5,30
Alberto-2018,AL012018,201805260000,18.9,-85.9,30
Alberto-2018,AL012018,201805260600,19.6,-85.7,30
Alberto-2018,AL012018,201805261200,21.3,-85.6,30
Alberto-2018,AL012018,201805261800,22.6,-85.3,35
Alberto-2018,AL012018,201805270000,23.6,-84.8,35
Alberto-2018,AL012018,201805270600,24.9,-84.3,35
Alberto-2018,AL012018,201805271200,26.6,-84.4,40
Alberto-2018,AL012018,201805271800,27.6,-85,45
Alberto-2018,AL012018,201805280000,28.2,-85.8,55
Alberto-2018,AL012018,201805280600,28.6,-86,55
Alberto-2018,AL012018,201805281200,29.1,-85.9,50
Alberto-2018,AL012018,201805281800,29.8,-85.9,45
Alberto-2018,AL012018,201805282100,30.3,-86,40
Alberto-2018,AL012018,201805290000,30.9,-86.1,30
Alberto-2018,AL012018,201805290600,31.9,-86.6,30
Alberto-2018,AL012018,201805291200,33,-87,30
Alberto-2018,AL012018,201805291800,34.2,-87.3,30
Alberto-2018,AL012018,201805300000,35.4,-87.6,30
Alberto-2018,AL012018,201805300600,36.7,-87.9,30
Alberto-2018,AL012018,201805301200,38.2,-87.7,30
Alberto-2018,AL012018,201805301800,39.9,-87,30
Alberto-2018,AL012018,201805310000,41.5,-86,30
Alberto-2018,AL012018,201805310600,43.5,-84.6,30
Alberto-2018,AL012018,201805311200,46,-83.3,30
Beryl-2018,AL022018,201807041200,10,-34.9,30
Beryl-2018,AL022018,201807041800,10.1,-36.5,30
Beryl-2018,AL022018,201807050000,10.1,-38,35
Beryl-2018,AL022018,201807050600,10.1,-39.5,35
Beryl-2018,AL022018,201807051200,10.2,-40.9,40
Beryl-2018,AL022018,201807051800,10.3,-42.3,45
Beryl-2018,AL022018,201807060000,10.3,-43.4,55
Beryl-2018,AL022018,201807060600,10.5,-44.6,70
Beryl-2018,AL022018,201807061200,10.7,-46,70
Beryl-2018,AL022018,201807061800,10.6,-47.3,65
Beryl-2018,AL022018,201807070000,10.7,-48.3,65
Beryl-2018,AL022018,201807070600,11.1,-49.3,65
Beryl-2018,AL022018,201807071200,11.7,-50.4,55
Beryl-2018,AL022018,201807071800,12.4,-52,45
Beryl-2018,AL022018,201807080000,12.9,-53.6,45
Beryl-2018,AL022018,201807080600,13.4,-55.2,45
Beryl-2018,AL022018,201807081200,14.1,-56.9,45
Beryl-2018,AL022018,201807081800,14.8,-59.2,40
Beryl-2018,AL022018,201807090000,15.5,-61.3,35
Beryl-2018,AL022018,201807090600,16.2,-63.2,35
Beryl-2018,AL022018,201807091200,16.6,-65.3,35
Beryl-2018,AL022018,201807091800,17.1,-67.1,35
Beryl-2018,AL022018,201807100000,17.6,-68.9,35
Beryl-2018,AL022018,201807100600,18.1,-70.5,30
Beryl-2018,AL022018,201807101200,19.3,-71.6,30
Beryl-2018,AL022018,201807101800,20.2,-72.4,30
Beryl-2018,AL022018,201807110000,21.3,-73,25
Beryl-2018,AL022018,201807110600,22.4,-73.6,25
Beryl-2018,AL022018,201807111200,23.7,-73.8,25
Beryl-2018,AL022018,201807111800,25.2,-73.8,25
Beryl-2018,AL022018,201807120000,26.7,-73.6,25
Beryl-2018,AL022018,201807120600,28.2,-73.1,25
Beryl-2018,AL022018,201807121200,29.6,-72.4,25
Beryl-2018,AL022018,201807121800,30.8,-71.6,25
Beryl-2018,AL022018,201807130000,31.9,-70.7,25
Beryl-2018,AL022018,201807130600,32.6,-70.1,25
Beryl-2018,AL022018,201807131200,33.3,-69.4,25
Beryl-2018,AL022018,201807131800,33.9,-68.6,25
Beryl-2018,AL022018,201807140000,34.5,-68,25
Beryl-2018,AL022018,201807140600,35,-67.3,30
Beryl-2018,AL022018,201807141200,35.6,-66.2,35
Beryl-2018,AL022018,201807141800,36.7,-65.5,35
Beryl-2018,AL022018,201807150000,37.8,-65.5,35
Beryl-2018,AL022018,201807150600,38.2,-65.4,35
Beryl-2018,AL022018,201807151200,38.1,-65.1,35
Beryl-2018,AL022018,201807151800,38,-64.3,35
Beryl-2018,AL022018,201807160000,38.3,-63.1,35
Beryl-2018,AL022018,201807160600,38.7,-61.8,35
Beryl-2018,AL022018,201807161200,39.5,-60.2,35
Beryl-2018,AL022018,201807161800,40.7,-58.5,35
Beryl-2018,AL022018,201807170000,43,-57.1,30
Beryl-2018,AL022018,201807170600,45.5,-55.7,30
Chris-2018,AL032018,201807050600,30.7,-68.5,20
Chris-2018,AL032018,201807051200,30.7,-69.7,20
Chris-2018,AL032018,201807051800,30.8,-70.7,20
Chris-2018,AL032018,201807060000,30.9,-71.7,25
Chris-2018,AL032018,201807060600,31.2,-72.6,25
Chris-2018,AL032018,201807061200,31.5,-73.1,25
Chris-2018,AL032018,201807061800,31.8,-73.6,25
Chris-2018,AL032018,201807070000,32.2,-74.2,25
Chris-2018,AL032018,201807070600,32.6,-74.6,25
Chris-2018,AL032018,201807071200,32.7,-74.9,25
